Year;Location_Code;District;Municipality;Parish;Sex;Age;Population;Notes;Population_corrected
2021;170320;Vila Real;Chaves;Oura;F;65 and older;100;;100
2021;91205;Guarda;Seia;Girabolhos;M;0 - 14 year old;5;;5
2021;10416;Aveiro;Arouca;Santa Eulália;M;0 - 14 year old;137;;137
2021;31360;Braga;Vila Verde;União das freguesias da Ribeira do Neiva;M;0 - 14 year old;203;;203
2021;130526;Porto;Lousada;Vilar do Torno e Alentém;M;25 - 64 year old;346;;346
2021;90628;Guarda;Gouveia;União das freguesias de Rio Torto e Lagarinhos;F;0 - 14 year old;26;;26
2021;130811;Porto;Matosinhos;União das freguesias de Custóias, Leça do Balio e Guifões;M;15 - 24 year old;2332;;2332
2021;30301;Braga;Braga;Adaúfe;M;25 - 64 year old;1026;;1026
2021;30922;Braga;Póvoa de Lanhoso;Santo Emilião;M;15 - 24 year old;47;;47
2021;151101;Setúbal;Sesimbra;Sesimbra (Castelo);F;25 - 64 year old;5456;;5456
2021;150803;Setúbal;Palmela;Pinhal Novo;F;15 - 24 year old;1533;;1533
2021;30931;Braga;Póvoa de Lanhoso;União das freguesias de Calvos e Frades;F;25 - 64 year old;188;;188
2021;160820;Viana do Castelo;Valença;União das freguesias de Valença, Cristelo Covo e Arão;F;0 - 14 year old;333;;333
2021;160816;Viana do Castelo;Valença;Verdoejo;M;15 - 24 year old;16;;16
2021;61310;Coimbra;Penacova;Sazes do Lorvão;M;65 and older;98;;98
2021;160218;Viana do Castelo;Arcos de Valdevez;Vilar de Mouros;F;65 and older;111;;111
2021;181908;Viseu;Tabuaço;Longa;F;0 - 14 year old;4;;4
2021;160130;Viana do Castelo;Arcos de Valdevez;Rio Frio;F;25 - 64 year old;105;;105
2021;40604;Bragança;Miranda do Douro;Duas Igrejas;M;65 and older;132;;132
2021;111323;Lisboa;Torres Vedras;União das freguesias de Carvoeira e Carmões;F;15 - 24 year old;110;;110
2021;50205;Castelo Branco;Castelo Branco;Castelo Branco;M;15 - 24 year old;1842;;1842
2021;120504;Portalegre;Castelo de Vide;São João Baptista;F;65 and older;196;;196
2021;131506;Porto;Valongo;União das freguesias de Campo e Sobrado;M;65 and older;1242;;1242
2021;20210;Beja;Almodôvar;União das freguesias de Santa Clara-a-Nova e Gomes Aires;M;25 - 64 year old;184;;184
2021;40210;Bragança;Bragança;Coelhoso;F;15 - 24 year old;6;;6
2021;70903;Évora;Portel;Monte do Trigo;M;15 - 24 year old;65;;65
2021;31406;Braga;Vizela;Vizela (Santo Adrião);F;0 - 14 year old;122;;122
2021;91136;Guarda;Sabugal;Vale de Espinho;M;15 - 24 year old;8;;8
2021;171230;Vila Real;Valpaços;Veiga de Lila;F;25 - 64 year old;55;;55
2021;131141;Porto;Penafiel;Guilhufe e Urrô;F;25 - 64 year old;1143;;1143
2021;20522;Beja;Beja;União das freguesias de Salvada e Quintos;F;15 - 24 year old;55;;55
2021;131701;Porto;Vila Nova de Gaia;Arcozelo;F;15 - 24 year old;751;;751
2021;60406;Coimbra;Condeixa-a-Nova;Ega;M;65 and older;324;;324
2021;40218;Bragança;Bragança;Gostei;M;0 - 14 year old;13;;13
2021;60704;Coimbra;Lousã;Serpins;F;15 - 24 year old;79;;79
2021;70524;Évora;Évora;União das freguesias de Malagueira e Horta das Figueiras;F;25 - 64 year old;6052;;6052
2021;320101;Ilha de Porto Santo;Porto Santo;Porto Santo;F;65 and older;539;;539
2021;160915;Viana do Castelo;Viana do Castelo;Lanheses;F;65 and older;291;;291
2021;31013;Braga;Terras de Bouro;Rio Caldo;M;0 - 14 year old;39;;39
2021;90759;Guarda;Guarda;Jarmelo São Miguel;M;25 - 64 year old;62;;62
2021;50338;Castelo Branco;Covilhã;União das freguesias de Vale Formoso e Aldeia do Souto;F;0 - 14 year old;32;;32
2021;111122;Lisboa;Sintra;União das freguesias de Agualva e Mira-Sintra;F;65 and older;4973;;4973
2021;100618;Leiria;Caldas da Rainha;União das freguesias de Caldas da Rainha - Santo Onofre e Serra do Bouro;F;25 - 64 year old;3564;;3564
2021;180908;Viseu;Nelas;Lapa do Lobo;M;0 - 14 year old;29;;29
2021;130906;Porto;Paços de Ferreira;Figueiró;F;0 - 14 year old;165;;165
2021;40534;Bragança;Macedo de Cavaleiros;Vale de Prados;M;25 - 64 year old;110;;110
2021;141904;Santarém;Torres Novas;Chancelaria;F;25 - 64 year old;339;;339
2021;80808;Faro;Loulé;Loulé (São Clemente);M;65 and older;1657;;1657
2021;40822;Bragança;Mogadouro;Vale da Madre;F;0 - 14 year old;7;;7
2021;30617;Braga;Esposende;União das freguesias de Belinho e Mar;F;25 - 64 year old;798;;798
2021;131636;Porto;Vila do Conde;União das freguesias de Touguinha e Touguinhó;M;15 - 24 year old;170;;170
2021;171409;Vila Real;Vila Real;Folhadela;M;25 - 64 year old;546;;546
2021;180412;Viseu;Cinfães;Santiago de Piães;M;0 - 14 year old;117;;117
2021;181615;Viseu;São Pedro do Sul;Serrazes;M;65 and older;134;;134
2021;181208;Viseu;Penedono;Póvoa de Penela;M;25 - 64 year old;76;;76
2021;310310;Ilha da Madeira;Funchal;Funchal (Sé);M;25 - 64 year old;711;;711
2021;50416;Castelo Branco;Fundão;Fatela;M;25 - 64 year old;116;;116
2021;110618;Lisboa;Lisboa;Lumiar;F;65 and older;5694;;5694
2021;10805;Aveiro;Estarreja;Pardilhó;M;65 and older;400;;400
2021;430201;Ilha Terceira;Vila da Praia da Vitória;Agualva;F;25 - 64 year old;347;;347
2021;40727;Bragança;Mirandela;São Pedro Velho;F;65 and older;87;;87
2021;30212;Braga;Barcelos;Balugães;F;65 and older;88;;88
2021;71103;Évora;Reguengos de Monsaraz;Monsaraz;M;25 - 64 year old;174;;174
2021;420103;Ilha de São Miguel;Lagoa;Lagoa (Nossa Senhora do Rosário);M;15 - 24 year old;323;;323
2021;91032;Guarda;Pinhel;Alto do Palurdo;M;15 - 24 year old;8;;8
2021;141809;Santarém;Tomar;Paialvo;F;15 - 24 year old;99;;99
2021;180807;Viseu;Mortágua;Pala;M;25 - 64 year old;213;;213
2021;310604;Ilha da Madeira;Porto Moniz;Seixal;M;25 - 64 year old;168;;168
2021;101509;Leiria;Pombal;Pombal;M;25 - 64 year old;4235;;4235
2021;70522;Évora;Évora;União das freguesias de Bacelo e Senhora da Saúde;F;15 - 24 year old;882;;882
2021;310704;Ilha da Madeira;Ribeira Brava;Tabua;M;15 - 24 year old;69;;69
2021;91032;Guarda;Pinhel;Alto do Palurdo;F;0 - 14 year old;2;;2
2021;430118;Ilha Terceira;Angra do Heroísmo;Terra Chã;M;15 - 24 year old;203;;203
2021;30806;Braga;Guimarães;Barco;F;0 - 14 year old;96;;96
2021;50436;Castelo Branco;Fundão;União das freguesias de Vale de Prazeres e Mata da Rainha;M;0 - 14 year old;30;;30
2021;160221;Viana do Castelo;Arcos de Valdevez;União das freguesias de Arga (Baixo, Cima e São João);F;65 and older;54;;54
2021;30878;Braga;Guimarães;União das freguesias de Atães e Rendufe;F;0 - 14 year old;170;;170
2021;91304;Guarda;Trancoso;Cogula;F;0 - 14 year old;6;;6
2021;141634;Santarém;Santarém;União das freguesias de São Vicente do Paul e Vale de Figueira;M;65 and older;374;;374
2021;182310;Viseu;Viseu;Cota;F;15 - 24 year old;24;;24
2021;160323;Viana do Castelo;Melgaço;União das freguesias de Vila e Roussas;M;25 - 64 year old;532;;532
2021;10936;Aveiro;Santa Maria da Feira;União de freguesias de São Miguel de Souto e Mosteirô;M;0 - 14 year old;374;;374
2021;30740;Braga;Fafe;União de freguesias de Ardegão, Arnozela e Seidões;F;25 - 64 year old;264;;264
2021;30208;Braga;Barcelos;Alvelos;F;25 - 64 year old;566;;566
2021;30224;Braga;Barcelos;Cossourado;F;25 - 64 year old;204;;204
2021;80604;Faro;Lagoa;Porches;F;25 - 64 year old;599;;599
2021;31408;Braga;Vizela;União das freguesias de Caldas de Vizela (São Miguel e São João);F;15 - 24 year old;588;;588
2021;100939;Leiria;Leiria;União das freguesias de Santa Eufémia e Boa Vista;M;65 and older;458;;458
2021;130515;Porto;Lousada;Nevogilde;F;25 - 64 year old;740;;740
2021;181902;Viseu;Tabuaço;Arcos;F;25 - 64 year old;46;;46
2021;30104;Braga;Amares;Bico;M;15 - 24 year old;54;;54
2021;130224;Porto;Baião;União das freguesias de Loivos da Ribeira e Tresouras;F;0 - 14 year old;30;;30
2021;170333;Vila Real;Chaves;São Pedro de Agostém;F;25 - 64 year old;338;;338
2021;30517;Braga;Celorico de Basto;Rego;M;0 - 14 year old;69;;69
2021;30290;Braga;Barcelos;União das freguesias de Alheira e Igreja Nova;F;0 - 14 year old;85;;85
2021;470101;Ilha do Faial;Horta;Capelo;M;0 - 14 year old;32;;32
2021;140120;Santarém;Abrantes;União das freguesias de Abrantes (São Vicente e São João) e Alferrarede;F;65 and older;2193;;2193
2021;180409;Viseu;Cinfães;Nespereira;F;25 - 64 year old;424;;424
2021;110658;Lisboa;Lisboa;Belém;F;15 - 24 year old;798;;798
2021;90764;Guarda;Guarda;União de freguesias de Pousade e Albardo;M;25 - 64 year old;50;;50
2021;90738;Guarda;Guarda;Santana da Azinha;M;15 - 24 year old;19;;19
2021;60337;Coimbra;Coimbra;União das freguesias de São Martinho de Árvore e Lamarosa;M;65 and older;322;;322
2021;141202;Santarém;Golegã;Golegã;M;25 - 64 year old;832;;832
2021;40201;Bragança;Bragança;Alfaião;F;15 - 24 year old;4;;4
2021;110922;Lisboa;Mafra;União das freguesias de Venda do Pinheiro e Santo Estêvão das Galés;M;15 - 24 year old;676;;676
2021;430101;Ilha Terceira;Angra do Heroísmo;Altares;M;0 - 14 year old;49;;49
2021;160101;Viana do Castelo;Arcos de Valdevez;Aboim das Choças;M;65 and older;47;;47
2021;71201;Évora;Vendas Novas;Vendas Novas;F;15 - 24 year old;515;;515
2021;130226;Porto;Baião;União das freguesias de Teixeira e Teixeiró;F;15 - 24 year old;41;;41
2021;130129;Porto;Amarante;Salvador do Monte;M;15 - 24 year old;56;;56
2021;10606;Aveiro;Castelo de Paiva;Real;M;25 - 64 year old;328;;328
2021;450103;Ilha de São Jorge;Calheta;Ribeira Seca;F;65 and older;127;;127
2021;30377;Braga;Braga;União das freguesias de Nogueira, Fraião e Lamaçães;M;25 - 64 year old;4141;;4141
2021;90519;Guarda;Fornos de Algodres;União das freguesias de Sobral Pichorro e Fuinhas;M;15 - 24 year old;4;;4
2021;181208;Viseu;Penedono;Póvoa de Penela;M;15 - 24 year old;17;;17
2021;91335;Guarda;Trancoso;União das freguesias de Vilares e Carnicães;F;15 - 24 year old;9;;9
2021;41115;Bragança;Vimioso;União das freguesias de Algoso, Campo de Víboras e Uva;F;15 - 24 year old;11;;11
2021;180204;Viseu;Carregal do Sal;Oliveira do Conde;M;15 - 24 year old;142;;142
2021;30739;Braga;Fafe;União de freguesias de Antime e Silvares (São Clemente);M;25 - 64 year old;497;;497
2021;420310;Ilha de São Miguel;Ponta Delgada;Ginetes;F;0 - 14 year old;72;;72
2021;90105;Guarda;Aguiar da Beira;Dornelas;F;15 - 24 year old;19;;19
2021;160225;Viana do Castelo;Caminha;União das freguesias de Venade e Azevedo;F;15 - 24 year old;48;;48
2021;91125;Guarda;Sabugal;Rapoula do Côa;F;25 - 64 year old;45;;45
2021;181818;Viseu;Sernancelhe;União das freguesias de Ferreirim e Macieira;M;65 and older;79;;79
2021;40909;Bragança;Torre de Moncorvo;Horta da Vilariça;F;0 - 14 year old;5;;5
2021;180202;Viseu;Carregal do Sal;Cabanas de Viriato;F;25 - 64 year old;345;;345
2021;151103;Setúbal;Sesimbra;Quinta do Conde;F;0 - 14 year old;2294;;2294
2021;131009;Porto;Paredes;Cristelo;M;65 and older;117;;117
2021;100611;Leiria;Caldas da Rainha;Santa Catarina;M;0 - 14 year old;135;;135
2021;111009;Lisboa;Oeiras;Porto Salvo;F;15 - 24 year old;835;;835
2021;81310;Faro;Silves;União das freguesias de Algoz e Tunes;M;0 - 14 year old;567;;567
2021;180520;Viseu;Lamego;Sande;F;65 and older;108;;108
2021;160602;Viana do Castelo;Ponte da Barca;Boivães;M;65 and older;37;;37
2021;142001;Santarém;Vila Nova da Barquinha;Atalaia;M;25 - 64 year old;421;;421
2021;21122;Beja;Odemira;Vale de Santiago;M;25 - 64 year old;216;;216
2021;10409;Aveiro;Arouca;Escariz;F;25 - 64 year old;556;;556
2021;50916;Castelo Branco;Sertã;União das freguesias de Cumeada e Marmeleiro;M;25 - 64 year old;121;;121
2021;310203;Ilha da Madeira;Câmara de Lobos;Estreito de Câmara de Lobos;F;25 - 64 year old;2682;;2682
2021;171102;Vila Real;Santa Marta de Penaguião;Cumieira;F;0 - 14 year old;37;;37
2021;430210;Ilha Terceira;Vila da Praia da Vitória;Vila Nova;M;25 - 64 year old;417;;417
2021;40741;Bragança;Mirandela;União das freguesias de Franco e Vila Boa;M;15 - 24 year old;9;;9
2021;40724;Bragança;Mirandela;Passos;M;15 - 24 year old;10;;10
2021;91307;Guarda;Trancoso;Fiães;M;65 and older;32;;32
