ID	name	location	rest_type	type
10234	Jalsa	Banashankari	Casual Dining	Buffet
10235	Spice Elephant	Banashankari	Casual Dining	Buffet
10235	San Churro Cafe	Banashankari	Cafe, Casual Dining	Buffet
10236	Addhuri Udupi Bhojana	Banashankari	Quick Bites	Buffet
10236	Grand Village	Basavanagudi	Casual Dining	Buffet
10237	Timepass Dinner	Basavanagudi	Casual Dining	Buffet
10237	Rosewood International Hotel - Bar & Restaurant	Mysore Road	Casual Dining	Buffet
10238	Onesta	Banashankari	Casual Dining, Cafe	Cafes
10238	Penthouse Cafe	Banashankari	Cafe	
10239	Smacznego	Banashankari	Cafe	Cafes
10239	CafDown The Alley	Banashankari	Cafe	Cafes
10240	Cafe Shuffle	Banashankari	Cafe	Cafes
10240	The Coffee Shack	Banashankari	Cafe	Cafes
10241	Caf-Eleven	Banashankari	Cafe	Cafes
10241	San Churro Cafe	Banashankari	Cafe, Casual Dining	Cafes
10242	Cafe Vivacity	Banashankari	Cafe	Cafes
10242	Catch-up-ino	Banashankari	Cafe	Cafes
10243	Kirthi's Biryani	Banashankari	Cafe	Cafes
10243	T3H Cafe	Banashankari	Cafe	Cafes
10244	360 Atoms Restaurant And Cafe	Banashankari	Cafe	Cafes
10244	The Vintage Cafe	Banashankari	Cafe	Cafes
10245	Woodee Pizza	Banashankari	Cafe	Cafes
10245	Cafe Coffee Day	Banashankari	Cafe	Cafes
10246	My Tea House	Banashankari	Quick Bites, Cafe	Cafes
10246	Hide Out Cafe	Banashankari	Cafe	Cafes
10247	CAFE NOVA	Banashankari	Cafe	Cafes
10247	Coffee Tindi	Banashankari	Cafe, Quick Bites	Cafes
10248	Sea Green Cafe	Banashankari	Cafe	Cafes
10248	Cuppa	Banashankari	Cafe	Cafes
10249	Srinathji's Cafe	Basavanagudi	Casual Dining, Cafe	Cafes
10249	Redberrys	Basavanagudi	Cafe	Cafes
10250	Foodiction	Banashankari	Quick Bites	
10250	Sweet Truth	Banashankari	Delivery	Delivery
10251	Ovenstory Pizza	Banashankari	Delivery	Delivery
10251	Faasos	Banashankari	Quick Bites	
10252	Behrouz Biryani	Banashankari	Delivery	Delivery
10252	Fast And Fresh	Banashankari	Quick Bites	Delivery
10253	Szechuan Dragon	Banashankari	Casual Dining	Delivery
10253	Empire Restaurant	Jayanagar	Casual Dining	
10254	Maruthi Davangere Benne Dosa	Banashankari	Quick Bites	Delivery
10254	Chaatimes	Basavanagudi	Quick Bites	Delivery
10255	Havyaka Mess	Banashankari	Mess	Delivery
10255	McDonald's	Banashankari	Quick Bites	Delivery
10256	Domino's Pizza	Banashankari	Quick Bites	Delivery
10256	Onesta	Banashankari	Casual Dining, Cafe	
10257	Hotboxit	Banashankari	Delivery	Delivery
10257	Kitchen Garden	Kumaraswamy Layout	Quick Bites	Delivery
10258	Recipe	Kumaraswamy Layout	Casual Dining	Delivery
10258	Beijing Bites	Rajarajeshwari Nagar	Casual Dining	Delivery
